UID,Fact_name,address,price,module,attempts_fc,attempts_fu1,attempts_fu2,Cnum_orig_off,Cnum_orig_fact,Cnum_gm,Cnum_upd,Cnam_orig,Cnam_gm,Cnam_upd,Cdesig_orig,Cdesig_gm,Cdesig_upd,Cdesig_code,Cemail,first_call,send_docs,docs_sent,fu1_call,free_mod,fu2_call,status
M322,factory56,address56,9250,Q,1,7,0,number56,number56,number56,number56,name56,name56,name56,,,HR MANAGER,5,,1,1,2013-09-25_18:07:23.525000,1,,,Update Call Status Comments from user 56
M382,factory57,address57,9250,Q,1,22,0,number57,number57,number57,number57,name57,name57,name57,,,HR MANAGER,5,wasifknit8@gmail.com,1,1,2013-09-25_18:07:23.525000,1,1,,Update Call Status Comments from user 57
M387,factory58,address58,14000,P,3,20,0,number58,number58,number58,number58,name58,name58,name58,,,GM ADMIN,8,,1,1,2013-09-26_19:09:27.129000,,,,Update Call Status Comments from user 58
M397,factory59,address59,14000,Q,6,0,0,number59,number59,number59,number59,name59,name59,name59,,,,,,1,0,,,,,Update Call Status Comments from user 59
M366,factory60,address60,9250,P,4,0,0,number60,number60,number60,number60,name60,name60,name60,,,,,,1,0,,,,,Update Call Status Comments from user 60
M413,factory61,address61,14000,Q,2,27,0,number61,number61,number61,number61,name61,name61,name61,,,DGM,2,,1,1,2013-09-25_18:07:23.525000,,,,Update Call Status Comments from user 61
M484,factory62,address62,9250,P,1,7,2,number62,number62,number62,number62,name62,name62,name62,,,HEAD OF IE,12,,1,1,2013-09-25_18:07:23.525000,1,1,,Update Call Status Comments from user 62
M427,factory63,address63,14000,P,3,0,0,number63,number63,number63,number63,name63,name63,name63,,,,,,1,0,,,,,Update Call Status Comments from user 63
M414,factory64,address64,9250,H,6,0,0,number64,number64,number64,number64,name64,name64,name64,,,,,,1,0,,,,,Update Call Status Comments from user 64
M463,factory65,address65,14000,P,4,0,0,number65,number65,number65,number65,name65,name65,name65,,,,,,1,0,,,,,Update Call Status Comments from user 65
M453,factory66,address66,14000,H,2,0,0,number66,number66,number66,number66,name66,name66,name66,,,GM ADMIN & COMPLIENCE,10,,1,0,,,,,Update Call Status Comments from user 66
M424,factory67,address67,9250,P,3,10,0,number67,number67,number67,number67,name67,name67,name67,,,GM,2,,1,1,2013-09-30_17:24:20.703000,1,,,Update Call Status Comments from user 67
M410,factory68,address68,9250,Q,1,0,0,number68,number68,number68,number68,name68,name68,name68,,,,,,1,0,,,,,Update Call Status Comments from user 68
M481,factory69,address69,14000,P,6,0,0,number69,number69,number69,number69,name69,name69,name69,,,MD,3,,1,0,,,,,Update Call Status Comments from user 69
M417,factory70,address70,14000,H,6,0,0,number70,number70,number70,number70,name70,name70,name70,,,,,,1,0,,,,,Update Call Status Comments from user 70
M435,factory71,address71,14000,H,1,0,0,number71,number71,number71,number71,name71,name71,name71,,,,,,1,0,,,,,Update Call Status Comments from user 71
M461,factory72,address72,14000,Q,2,13,0,number72,number72,number72,number72,name72,name72,name72,,,COMPLIENCE OFFICER,6,,1,1,2013-09-26_19:09:27.129000,1,,,Update Call Status Comments from user 72
M505,factory73,address73,14000,H,2,0,0,number73,number73,number73,number73,name73,name73,name73,,,MANAGER ADMIN,8,,1,0,,,,,Update Call Status Comments from user 73
M539,factory74,address74,14000,P,2,0,0,number74,number74,number74,number74,name74,name74,name74,,,,,,1,0,,,,,Update Call Status Comments from user 74
M503,factory75,address75,14000,P,5,24,0,number75,number75,number75,number75,name75,name75,name75,,,HR MANAGER,5,,1,1,2013-10-01_18:29:58.211000,,,,Update Call Status Comments from user 75
M540,factory76,address76,9250,Q,6,3,0,number76,number76,number76,number76,name76,name76,name76,,,GM,2,,1,1,2013-09-26_19:09:27.129000,1,,,Update Call Status Comments from user 76
M506,factory77,address77,9250,P,2,12,0,number77,number77,number77,number77,name77,name77,name77,,,ADMIN OFFICER,8,,1,1,2013-09-25_18:07:23.525000,1,,,Update Call Status Comments from user 77
M513,factory78,address78,14000,Q,1,11,0,number78,number78,number78,number78,name78,name78,name78,,,HR MANAGER,5,,1,1,2013-09-25_18:07:23.525000,1,,,Update Call Status Comments from user 78
M512,factory79,address79,9250,P,6,0,0,number79,number79,number79,number79,name79,name79,name79,,,,,,1,0,,,,,Update Call Status Comments from user 79
M551,factory80,address80,14000,P,1,0,0,number80,number80,number80,number80,name80,name80,name80,,,,,,1,0,,,,,Update Call Status Comments from user 80
M517,factory81,address81,14000,H,1,0,0,number81,number81,number81,number81,name81,name81,name81,,,,,,1,0,,,,,Update Call Status Comments from user 81
M501,factory82,address82,14000,Q,3,15,4,number82,number82,number82,number82,name82,name82,name82,,,COMPLIENCE MANAGER ,6,,1,1,2013-10-01_18:29:58.211000,1,1,,Update Call Status Comments from user 82
M504,factory83,address83,9250,Q,2,0,0,number83,number83,number83,number83,name83,name83,name83,,,HR MANAGER,5,,1,0,,,,,Update Call Status Comments from user 83
M530,factory84,address84,9250,P,4,0,0,number84,number84,number84,number84,name84,name84,name84,,,,,,1,0,,,,,Update Call Status Comments from user 84
M632,factory85,address85,14000,Q,6,5,5,number85,number85,number85,number85,name85,name85,name85,,,DGM HR,5,,1,1,2013-09-26_19:09:27.129000,1,1,,Update Call Status Comments from user 85
M628,factory86,address86,14000,P,2,0,0,number86,number86,number86,number86,name86,name86,name86,,,,,,1,0,,,,,Update Call Status Comments from user 86
M625,factory87,address87,9250,P,2,0,0,number87,number87,number87,number87,name87,name87,name87,,,,,,1,0,,,,,Update Call Status Comments from user 87
M581,factory88,address88,9250,Q,2,8,0,number88,number88,number88,number88,name88,name88,name88,,,SENIOR ADMIN & COMPLIENCE OFFICER,10,,1,1,2013-09-26_19:09:27.129000,1,1,,Update Call Status Comments from user 88
M599,factory89,address89,9250,Q,3,6,5,number89,number89,number89,number89,name89,name89,name89,,,"AGM HR, ADMIN & COMPLIENCE",16,,1,1,2013-09-26_19:09:27.129000,1,1,,Update Call Status Comments from user 89
M575,factory90,address90,9250,Q,1,22,0,number90,number90,number90,number90,name90,name90,name90,,,HR MANAGER,5,,1,1,2013-09-26_19:09:27.129000,,,,Update Call Status Comments from user 90
M602,factory91,address91,14000,Q,4,0,0,number91,number91,number91,number91,name91,name91,name91,,,,,,1,0,,,,,Update Call Status Comments from user 91
M562,factory92,address92,14000,P,3,7,0,number92,number92,number92,number92,name92,name92,name92,,,SENIOR EXICUTIVE HR,5,,1,1,2013-09-26_19:09:27.129000,1,,,Update Call Status Comments from user 92
M592,factory93,address93,14000,P,3,18,0,number93,number93,number93,number93,name93,name93,name93,,,GM,2,,1,1,2013-09-26_19:09:27.129000,,,,Update Call Status Comments from user 93
M565,factory94,address94,9250,P,5,0,0,number94,number94,number94,number94,name94,name94,name94,,,,,,1,0,,,,,Update Call Status Comments from user 94
M608,factory95,address95,14000,Q,2,10,0,number95,number95,number95,number95,name95,name95,name95,,,GM HR,5,,1,1,2013-09-26_19:09:27.129000,1,,,Update Call Status Comments from user 95
M626,factory96,address96,14000,Q,1,0,0,number96,number96,number96,number96,name96,name96,name96,,,,,,1,0,,,,,Update Call Status Comments from user 96
